minecraft:air, Air
minecraft:turtle_egg, Turtle Egg
minecraft:bubble_column, Bubble Column
minecraft:barrier, Barrier
minecraft:end_stone_brick_slab, End Stone Brick Slab
minecraft:smooth_red_sandstone_slab, Smooth Red Sandstone Slab
minecraft:polished_andesite_slab, Polished Andesite Slab
minecraft:andesite_slab, Andesite Slab
minecraft:diorite_slab, Diorite Slab
minecraft:polished_diorite_slab, Polished Diorite Slab
minecraft:granite_slab, Granite Slab
minecraft:polished_granite_slab, Polished Granite Slab
minecraft:bamboo, Bamboo
minecraft:bamboo_sapling, Bamboo Sapling
minecraft:scaffolding, Scaffolding
minecraft:mossy_stone_brick_slab, Mossy Stone Brick Slab
minecraft:smooth_quartz_slab, Smooth Quartz Slab
minecraft:stone_slab, Stone Slab
minecraft:cut_sandstone_slab, Cut Sandstone Slab
minecraft:cut_red_sandstone_slab, Cut Red Sandstone Slab
minecraft:granite_stairs, Granite Stairs
minecraft:diorite_stairs, Diorite Stairs
minecraft:andesite_stairs, Andesite Stairs
minecraft:polished_granite_stairs, Polished Granite Stairs
minecraft:polished_diorite_stairs, Polished Diorite Stairs
minecraft:polished_andesite_stairs, Polished Andesite Stairs
minecraft:mossy_stone_brick_stairs, Mossy Stone Brick Stairs
minecraft:smooth_red_sandstone_stairs, Smooth Red Sandstone Stairs
minecraft:smooth_sandstone_stairs, Smooth Sandstone Stairs
minecraft:end_stone_brick_stairs, End Stone Brick Stairs
minecraft:mossy_cobblestone_stairs, Mossy Cobblestone Stairs
minecraft:stone_stairs, Stone Stairs
minecraft:spruce_sign, Spruce Sign
minecraft:spruce_wall_sign, Spruce Wall Sign
minecraft:smooth_stone, Smooth Stone
minecraft:red_nether_brick_stairs, Red Nether Brick Stairs
minecraft:smooth_quartz_stairs, Smooth Quartz Stairs
minecraft:birch_sign, Birch Sign
minecraft:birch_wall_sign, Birch Wall Sign
minecraft:jungle_sign, Jungle Sign
minecraft:jungle_wall_sign, Jungle Wall Sign
minecraft:acacia_sign, Acacia Sign
minecraft:acacia_wall_sign, Acacia Wall Sign
minecraft:dark_oak_sign, Dark Oak Sign
minecraft:dark_oak_wall_sign, Dark Oak Wall Sign
minecraft:lectern, Lectern
minecraft:grindstone, Grindstone
minecraft:blast_furnace, Blast Furnace
minecraft:smoker, Smoker
minecraft:cartography_table, Cartography Table
minecraft:fletching_table, Fletching Table
minecraft:smithing_table, Smithing Table
minecraft:barrel, Barrel
minecraft:loom, Loom
minecraft:bell, Bell
minecraft:sweet_berry_bush, Sweet Berry Bush
minecraft:lantern, Lantern
minecraft:campfire, Campfire
minecraft:lava_cauldron, Lava Cauldron
minecraft:jigsaw_block, Jigsaw Block
minecraft:oak_wood, Oak Wood
minecraft:spruce_wood, Spruce Wood
minecraft:birch_wood, Birch Wood
minecraft:jungle_wood, Jungle Wood
minecraft:acacia_wood, Acacia Wood
minecraft:dark_oak_wood, Dark Oak Wood
minecraft:stripped_oak_wood, Stripped Oak Wood
minecraft:stripped_spruce_wood, Stripped Spruce Wood
minecraft:stripped_birch_wood, Stripped Birch Wood
minecraft:stripped_jungle_wood, Stripped Jungle Wood
minecraft:stripped_acacia_wood, Stripped Acacia Wood
minecraft:stripped_dark_oak_wood, Stripped Dark Oak Wood
minecraft:composter, Composter
minecraft:light_block, Light Block
minecraft:wither_rose, Wither Rose
minecraft:bee_nest, Bee nest
minecraft:beehive, Beehive
minecraft:honey_block, Honey Block
minecraft:honeycomb_block, Honeycomb Block
